description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.type,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.places,place.org.parent.type,place.org.parent.parent,place.org.parent.parent.parent
"en A Groom Lake, Le projet de construction OXCART est achevé et la population de la base atteint 1835 personnes.","",1965,,""""","""",s1,"""",,,McIninch",1965,case,https://rr0.org/time/1/9/6/5/index.html#1965
en,"",1965-01,,"",1965-01,case,https://rr0.org/time/1/9/6/5/index.html#1965-01
en,"",1965-03,,"",1965-03,case,https://rr0.org/time/1/9/6/5/index.html#1965-03
en,"",1965-04,,"",1965-04,case,https://rr0.org/time/1/9/6/5/index.html#1965-04
en,"",1965-05,,"",1965-05,case,https://rr0.org/time/1/9/6/5/index.html#1965-05
en,"",1965-06,,"",1965-06,case,https://rr0.org/time/1/9/6/5/index.html#1965-06
en,"",1965-07,,"",1965-07,case,https://rr0.org/time/1/9/6/5/index.html#1965-07
en,"",1965-08,,"",1965-08,case,https://rr0.org/time/1/9/6/5/index.html#1965-08
en,"",1965-09,,"",1965-09,case,https://rr0.org/time/1/9/6/5/index.html#1965-09
en,"",1965-10,,"",1965-10,case,https://rr0.org/time/1/9/6/5/index.html#1965-10
en,"",1965-11,,"",1965-11,case,https://rr0.org/time/1/9/6/5/index.html#1965-11
en,"",1965-12,,"",1965-12,case,https://rr0.org/time/1/9/6/5/index.html#1965-12
"Dans les solitaires, un automobiliste signale avoir été doublé par un objet en forme de Land-Rover, se déplaçant à grande vitesse sans phares ni feux arrière, avec seulement une sorte de lumière clignotante au sommet. Quand le conducteur étonné met ses feux de route et essaie de le prendre en chasse, l'objet se contente de disparaître dans un nuage de brume ou de fumée.","",1965,Costswold Hills,,,,"",,"",""""","""",s2,"""",""1966-03/04, p. 35 < Bowen, Charles, En quête d'humanoïdes"",24,FSR",1965,case,https://rr0.org/time/1/9/6/5/index.html
"Une astronome de témoin, remarque dans le ciel un objet doté de hublots lumineux. Les équipages de Voskhod 1 et 2 repèrent des cylindres sans ouvertures flottant dans l'espace auprès de leur vaisseau spatial.","",1965,Moscou (Russie),,,,"",,"","",1965,case,https://rr0.org/time/1/9/6/5/index.html
